0.01,0,1
0.015,0,10
0.02,0,172
0.025,0,168
0.03,0,164
0.035,0,161
0.04,0,157
0.045,0,153
0.05,0,148
0.055,0,143
0.06,0,138
0.065,0,126
0.07,0,115
0.075,0,29
0.08,0,27
0.085,0,15
0.09,0,13
0.095,0,0
0.01,50,1
0.015,50,4
0.02,50,170
0.025,50,163
0.03,50,159
0.035,50,156
0.04,50,151
0.045,50,147
0.05,50,142
0.055,50,136
0.06,50,130
0.065,50,115
0.07,50,23
0.075,50,20
0.08,50,21
0.085,50,8
0.09,50,2
0.095,50,0
0.01,100,1
0.015,100,2
0.02,100,202
0.025,100,196
0.03,100,200
0.035,100,195
0.04,100,185
0.045,100,150
0.05,100,142
0.055,100,136
0.06,100,129
0.065,100,116
0.07,100,4
0.075,100,2
0.08,100,3
0.085,100,2
0.09,100,2
0.095,100,0
0.01,150,1
0.015,150,2
0.02,150,166
0.025,150,162
0.03,150,158
0.035,150,154
0.04,150,150
0.045,150,146
0.05,150,140
0.055,150,134
0.06,150,128
0.065,150,122
0.07,150,22
0.075,150,20
0.08,150,21
0.085,150,2
0.09,150,2
0.095,150,0
0.01,200,1
0.015,200,2
0.02,200,172
0.025,200,168
0.03,200,163
0.035,200,164
0.04,200,150
0.045,200,144
0.05,200,138
0.055,200,134
0.06,200,128
0.065,200,112
0.07,200,3
0.075,200,2
0.08,200,3
0.085,200,2
0.09,200,1
0.095,200,0
0.01,250,1
0.015,250,3
0.02,250,164
0.025,250,159
0.03,250,156
0.035,250,157
0.04,250,146
0.045,250,142
0.05,250,136
0.055,250,130
0.06,250,133
0.065,250,119
0.07,250,22
0.075,250,21
0.08,250,15
0.085,250,2
0.09,250,2
0.095,250,0
0.01,300,1
0.015,300,2
0.02,300,197
0.025,300,187
0.03,300,158
0.035,300,153
0.04,300,151
0.045,300,148
0.05,300,142
0.055,300,137
0.06,300,132
0.065,300,119
0.07,300,21
0.075,300,7
0.08,300,7
0.085,300,2
0.09,300,1
0.095,300,0
0.01,350,1
0.015,350,3
0.02,350,161
0.025,350,159
0.03,350,154
0.035,350,149
0.04,350,145
0.045,350,140
0.05,350,134
0.055,350,138
0.06,350,132
0.065,350,119
0.07,350,106
0.075,350,2
0.08,350,3
0.085,350,2
0.09,350,1
0.095,350,0
0.01,400,1
0.015,400,3
0.02,400,183
0.025,400,158
0.03,400,156
0.035,400,153
0.04,400,154
0.045,400,145
0.05,400,134
0.055,400,134
0.06,400,128
0.065,400,113
0.07,400,4
0.075,400,2
0.08,400,3
0.085,400,2
0.09,400,1
0.095,400,0
0.01,450,1
0.015,450,3
0.02,450,170
0.025,450,160
0.03,450,155
0.035,450,151
0.04,450,147
0.045,450,143
0.05,450,138
0.055,450,132
0.06,450,126
0.065,450,111
0.07,450,3
0.075,450,2
0.08,450,3
0.085,450,2
0.09,450,1
0.095,450,0
0.01,500,1
0.015,500,10
0.02,500,161
0.025,500,157
0.03,500,154
0.035,500,151
0.04,500,147
0.045,500,142
0.05,500,137
0.055,500,132
0.06,500,125
0.065,500,109
0.07,500,3
0.075,500,2
0.08,500,3
0.085,500,2
0.09,500,1
0.095,500,0
0.01,550,1
0.015,550,3
0.02,550,172
0.025,550,163
0.03,550,157
0.035,550,156
0.04,550,151
0.045,550,149
0.05,550,138
0.055,550,134
0.06,550,127
0.065,550,112
0.07,550,3
0.075,550,2
