0.01,0,1
0.015,0,12
0.02,0,188
0.025,0,184
0.03,0,180
0.035,0,177
0.04,0,174
0.045,0,170
0.05,0,164
0.055,0,160
0.06,0,155
0.065,0,141
0.07,0,131
0.075,0,49
0.08,0,48
0.085,0,46
0.09,0,43
0.095,0,41
0.01,50,1
0.015,50,5
0.02,50,167
0.025,50,177
0.03,50,175
0.035,50,171
0.04,50,167
0.045,50,163
0.05,50,157
0.055,50,152
0.06,50,146
0.065,50,130
0.07,50,130
0.075,50,48
0.08,50,46
0.085,50,45
0.09,50,43
0.095,50,41
0.01,100,1
0.015,100,4
0.02,100,162
0.025,100,179
0.03,100,176
0.035,100,172
0.04,100,166
0.045,100,166
0.05,100,162
0.055,100,158
0.06,100,153
0.065,100,140
0.07,100,131
0.075,100,49
0.08,100,47
0.085,100,46
0.09,100,44
0.095,100,41
0.01,150,1
0.015,150,2
0.02,150,172
0.025,150,180
0.03,150,179
0.035,150,174
0.04,150,170
0.045,150,165
0.05,150,158
0.055,150,151
0.06,150,147
0.065,150,45
0.07,150,126
0.075,150,43
0.08,150,42
0.085,150,45
0.09,150,43
0.095,150,41
0.01,200,1
0.015,200,2
0.02,200,181
0.025,200,181
0.03,200,181
0.035,200,175
0.04,200,173
0.045,200,168
0.05,200,161
0.055,200,160
0.06,200,152
0.065,200,140
0.07,200,131
0.075,200,49
0.08,200,47
0.085,200,45
0.09,200,44
0.095,200,41
0.01,250,1
0.015,250,2
0.02,250,153
0.025,250,179
0.03,250,177
0.035,250,115
0.04,250,172
0.045,250,168
0.05,250,166
0.055,250,159
0.06,250,46
0.065,250,44
0.07,250,45
0.075,250,42
0.08,250,44
0.085,250,45
0.09,250,43
0.095,250,41
0.01,300,1
0.015,300,2
0.02,300,172
0.025,300,179
0.03,300,138
0.035,300,133
0.04,300,61
0.045,300,54
0.05,300,52
0.055,300,48
0.06,300,49
0.065,300,45
0.07,300,127
0.075,300,48
0.08,300,46
0.085,300,46
0.09,300,45
0.095,300,41
0.01,350,1
0.015,350,2
0.02,350,181
0.025,350,179
0.03,350,177
0.035,350,172
0.04,350,170
0.045,350,165
0.05,350,162
0.055,350,150
0.06,350,144
0.065,350,136
0.07,350,124
0.075,350,49
0.08,350,46
0.085,350,45
0.09,350,44
0.095,350,41
0.01,400,1
0.015,400,2
0.02,400,142
0.025,400,174
0.03,400,167
0.035,400,162
0.04,400,161
0.045,400,150
0.05,400,148
0.055,400,140
0.06,400,136
0.065,400,134
0.07,400,130
0.075,400,49
0.08,400,46
0.085,400,44
0.09,400,44
0.095,400,41
0.01,450,1
0.015,450,2
0.02,450,118
0.025,450,183
0.03,450,180
0.035,450,176
0.04,450,171
0.045,450,161
0.05,450,157
0.055,450,150
0.06,450,145
0.065,450,137
0.07,450,130
0.075,450,48
0.08,450,46
0.085,450,44
0.09,450,43
0.095,450,41
0.01,500,1
0.015,500,2
0.02,500,180
0.025,500,184
0.03,500,181
0.035,500,177
0.04,500,169
0.045,500,168
0.05,500,162
0.055,500,152
0.06,500,146
0.065,500,137
0.07,500,130
0.075,500,48
0.08,500,46
0.085,500,44
0.09,500,43
0.095,500,41
0.01,550,1
0.015,550,3
0.02,550,164
0.025,550,161
0.03,550,159
0.035,550,39
0.04,550,146
0.045,550,38
0.05,550,150
0.055,550,146
0.06,550,142
0.065,550,128
0.07,550,129
0.075,550,48
0.08,550,47
0.085,550,44
0.09,550,43
0.095,550,41
0.01,600,1
0.015,600,2
0.02,600,61
0.025,600,52
0.03,600,54
0.035,600,176
0.04,600,169
0.045,600,163
0.05,600,155
0.055,600,152
0.06,600,146
0.065,600,138
0.07,600,129
0.075,600,48
0.08,600,46
0.085,600,44
0.09,600,41
0.095,600,41
0.01,650,1
0.015,650,3
0.02,650,175
0.025,650,183
0.03,650,176
0.035,650,173
0.04,650,169
0.045,650,165
0.05,650,156
0.055,650,150
0.06,650,142
0.065,650,136
0.07,650,129
0.075,650,48
0.08,650,46
0.085,650,44
0.09,650,43
0.095,650,41
0.01,700,1
0.015,700,3
0.02,700,175
0.025,700,179
0.03,700,180
0.035,700,155
0.04,700,173
0.045,700,162
0.05,700,34
0.055,700,150
0.06,700,27
0.065,700,139
0.07,700,129
0.075,700,48
0.08,700,45
0.085,700,44
0.09,700,43
0.095,700,41
0.01,750,1
0.015,750,3
0.02,750,185
0.025,750,182
0.03,750,174
0.035,750,42
0.04,750,167
0.045,750,142
0.05,750,38
0.055,750,152
0.06,750,144
0.065,750,137
0.07,750,129
0.075,750,48
0.08,750,45
0.085,750,44
0.09,750,43
0.095,750,41
0.01,800,1
0.015,800,3
0.02,800,172
0.025,800,45
0.03,800,178
0.035,800,174
0.04,800,170
0.045,800,38
0.05,800,154
0.055,800,158
0.06,800,29
0.065,800,136
0.07,800,128
0.075,800,48
0.08,800,47
0.085,800,44
0.09,800,43
0.095,800,41
0.01,850,1
0.015,850,3
0.02,850,176
0.025,850,182
0.03,850,180
0.035,850,174
0.04,850,170
0.045,850,164
0.05,850,155
0.055,850,150
0.06,850,28
0.065,850,24
0.07,850,129
0.075,850,48
0.08,850,45
0.085,850,45
0.09,850,43
0.095,850,41
0.01,900,1
0.015,900,4
0.02,900,174
0.025,900,180
0.03,900,177
0.035,900,173
0.04,900,34
0.045,900,30
0.05,900,29
0.055,900,23
0.06,900,22
0.065,900,17
0.07,900,127
0.075,900,48
0.08,900,44
0.085,900,44
0.09,900,42
0.095,900,41
0.01,950,1
0.015,950,9
0.02,950,38
0.025,950,175
0.03,950,172
0.035,950,169
0.04,950,28
0.045,950,23
0.05,950,24
0.055,950,21
0.06,950,19
0.065,950,16
0.07,950,22
0.075,950,11
0.08,950,45
0.085,950,44
0.09,950,43
0.095,950,41
0.01,1000,1
0.015,1000,6
0.02,1000,167
0.025,1000,180
0.03,1000,177
0.035,1000,176
0.04,1000,164
0.045,1000,33
0.05,1000,154
0.055,1000,22
0.06,1000,23
0.065,1000,18
0.07,1000,123
0.075,1000,16
0.08,1000,44
0.085,1000,44
0.09,1000,43
0.095,1000,41
0.01,1050,1
0.015,1050,4
0.02,1050,169
0.025,1050,179
0.03,1050,176
0.035,1050,171
0.04,1050,166
0.045,1050,32
0.05,1050,28
0.055,1050,24
0.06,1050,19
0.065,1050,17
0.07,1050,18
0.075,1050,45
0.08,1050,44
0.085,1050,44
0.09,1050,42
0.095,1050,41
0.01,1100,1
0.015,1100,8
0.02,1100,40
0.025,1100,35
0.03,1100,33
0.035,1100,32
0.04,1100,23
0.045,1100,23
0.05,1100,17
0.055,1100,14
0.06,1100,11
0.065,1100,10
0.07,1100,1
0.075,1100,0
0.08,1100,38
0.085,1100,42
0.09,1100,42
0.095,1100,41
0.01,1150,1
0.015,1150,10
0.02,1150,39
0.025,1150,38
0.03,1150,37
0.035,1150,33
0.04,1150,27
0.045,1150,140
0.05,1150,18
0.055,1150,15
0.06,1150,14
0.065,1150,14
0.07,1150,11
0.075,1150,5
0.08,1150,40
0.085,1150,43
0.09,1150,43
0.095,1150,41
0.01,1200,1
0.015,1200,3
0.02,1200,172
0.025,1200,178
0.03,1200,36
0.035,1200,168
0.04,1200,32
0.045,1200,164
0.05,1200,27
0.055,1200,152
0.06,1200,149
0.065,1200,18
0.07,1200,13
0.075,1200,12
0.08,1200,43
0.085,1200,43
0.09,1200,43
0.095,1200,41
0.01,1250,1
0.015,1250,3
0.02,1250,167
0.025,1250,36
0.03,1250,174
0.035,1250,32
